Numero,Destinazione,Ora pianificata,Ora effettiva,Ritardo
4C67,STAZA01,2015-11-05T08:15:30+01:00,2015-11-05T08:15:30+01:00,0
4C67,STAZA02,2015-11-05T08:15:30+01:00,2015-11-05T08:16:30+01:00,0
4C67,STAZA03,2015-11-05T08:16:30+01:00,2015-11-05T08:17:30+01:00,0
4C67,STAZA04,2015-11-05T08:16:30+01:00,2015-11-05T08:18:40+01:00,10
4C67,STAZA05,2015-11-05T08:17:30+01:00,2015-11-05T08:19:40+01:00,10
4C67,STAZA06,2015-11-05T08:17:30+01:00,2015-11-05T08:20:40+01:00,10
4C67,STAZA07,2015-11-05T08:18:30+01:00,2015-11-05T08:21:40+01:00,10
4C67,STAZA08,2015-11-05T08:18:30+01:00,2015-11-05T08:22:40+01:00,10
DU76,STAZB01,2015-11-05T08:19:30+01:00,2015-11-05T08:16:20+01:00,50
DU76,STAZB02,2015-11-05T08:19:30+01:00,2015-11-05T08:17:20+01:00,50
DU76,STAZB03,2015-11-05T08:20:30+01:00,2015-11-05T08:18:20+01:00,50
DU76,STAZB04,2015-11-05T08:20:30+01:00,2015-11-05T08:19:20+01:00,50
DU76,STAZB05,2015-11-05T08:21:30+01:00,2015-11-05T08:20:20+01:00,50
DU76,STAZB06,2015-11-05T08:21:30+01:00,2015-11-05T08:21:20+01:00,50
DU76,STAZB07,2015-11-05T08:22:30+01:00,2015-11-05T08:22:20+01:00,50
DU76,STAZB08,2015-11-05T08:22:30+01:00,2015-11-05T08:23:20+01:00,50
AK47,STAZA01,2015-11-05T08:25:30+01:00,2015-11-05T08:25:30+01:00,0
AK47,STAZA02,2015-11-05T08:26:30+01:00,2015-11-05T08:26:30+01:00,0
AK47,STAZA03,2015-11-05T08:27:30+01:00,2015-11-05T08:27:30+01:00,0
AK47,STAZA04,2015-11-05T08:28:30+01:00,2015-11-05T08:28:18+01:00,-12
AK47,STAZA05,2015-11-05T08:29:30+01:00,2015-11-05T08:29:18+01:00,-12
AK47,STAZA06,2015-11-05T08:30:30+01:00,2015-11-05T08:31:02+01:00,32
AK47,STAZA07,2015-11-05T08:31:30+01:00,2015-11-05T08:32:02+01:00,32
AK47,STAZA08,2015-11-05T08:32:30+01:00,2015-11-05T08:33:18+01:00,48
SU34,STAZB02,2015-11-05T10:24:30+01:00,2015-11-05T10:25:30+01:00,0
SU34,STAZB03,2015-11-05T10:25:30+01:00,2015-11-05T10:26:30+01:00,0
SU34,STAZB04,2015-11-05T10:25:30+01:00,2015-11-05T10:29:30+01:00,120
SU34,STAZB05,2015-11-05T10:26:30+01:00,2015-11-05T10:30:35+01:00,125
SU34,STAZB06,2015-11-05T10:26:30+01:00,2015-11-05T10:32:30+01:00,180
SU34,STAZB07,2015-11-05T10:27:30+01:00,2015-11-05T10:33:30+01:00,180
SU34,STAZB08,2015-11-05T10:27:30+01:00,2015-11-05T10:33:40+01:00,130
SU34,STAZB09,2015-11-05T10:28:30+01:00,2015-11-05T10:34:40+01:00,130
4J8E,STAZA01,2015-11-05T10:28:30+01:00,2015-11-05T10:24:30+01:00,0
4J8E,STAZA02,2015-11-05T10:29:30+01:00,2015-11-05T10:25:30+01:00,0
4J8E,STAZA03,2015-11-05T10:29:30+01:00,2015-11-05T10:26:30+01:00,0
4J8E,STAZA04,2015-11-05T10:30:30+01:00,2015-11-05T10:27:30+01:00,0
4J8E,STAZA05,2015-11-05T10:30:30+01:00,2015-11-05T10:28:30+01:00,0
4J8E,STAZA06,2015-11-05T10:31:30+01:00,2015-11-05T10:30:00+01:00,30
4J8E,STAZA07,2015-11-05T10:31:30+01:00,2015-11-05T10:31:50+01:00,80
4J8E,STAZA08,2015-11-05T10:32:30+01:00,2015-11-05T10:33:06+01:00,96
7UG6,STAZB02,2015-11-05T16:24:30+01:00,2015-11-05T16:25:13+01:00,43
7UG6,STAZB03,2015-11-05T16:24:30+01:00,2015-11-05T16:26:13+01:00,43
7UG6,STAZB04,2015-11-05T16:25:30+01:00,2015-11-05T16:26:41+01:00,11
7UG6,STAZB05,2015-11-05T16:25:30+01:00,2015-11-05T16:27:25+01:00,-5
7UG6,STAZB06,2015-11-05T16:26:30+01:00,2015-11-05T16:28:18+01:00,-12
7UG6,STAZB07,2015-11-05T16:26:30+01:00,2015-11-05T16:29:18+01:00,-12
7UG6,STAZB08,2015-11-05T16:27:30+01:00,2015-11-05T16:30:18+01:00,-12
7UG6,STAZB09,2015-11-05T16:27:30+01:00,2015-11-05T16:31:18+01:00,-12
NSD1,STAZA01,2015-11-05T16:28:30+01:00,2015-11-05T16:24:30+01:00,0
NSD1,STAZA02,2015-11-05T16:28:30+01:00,2015-11-05T16:25:30+01:00,0
NSD1,STAZA03,2015-11-05T16:29:30+01:00,2015-11-05T16:26:45+01:00,15
NSD1,STAZA04,2015-11-05T16:29:30+01:00,2015-11-05T16:27:45+01:00,15
NSD1,STAZA05,2015-11-05T16:30:30+01:00,2015-11-05T16:28:45+01:00,15
NSD1,STAZA06,2015-11-05T16:30:30+01:00,2015-11-05T16:29:45+01:00,15
NSD1,STAZA07,2015-11-05T16:31:30+01:00,2015-11-05T16:31:40+01:00,70
NSD1,STAZA08,2015-11-05T16:31:30+01:00,2015-11-05T16:32:35+01:00,65
